month,year,nfirms,me,div_yld,log_excess_ret
1,1960,1088,285092858.75,0.03302459856090929,-0.07227480089723144
2,1960,1092,288178486.75,0.03313016106478363,0.010697589286615475
3,1960,1096,284143301.4375,0.03380094796560507,-0.016199478279979255
4,1960,1096,279517659.0625,0.03441296681038127,-0.018143338680959468
5,1960,1098,287792640.875,0.03393269852765832,0.0308414985387033
6,1960,1106,293764850.625,0.03333946813192071,0.01983831313274396
7,1960,1108,287015277.1875,0.0340212920378663,-0.025014629404028717
8,1960,1114,294808870.3125,0.03393964264069591,0.029792146489557504
9,1960,1120,277792054.0625,0.03574277308574746,-0.06237952930984484
10,1960,1117,276069199.9375,0.03608439219300835,-0.0067806374025881095
11,1960,1117,287593784.25,0.03510296031591609,0.04555732091242264
12,1960,1116,304861028.0625,0.03265512676908996,0.045422806992990616
1,1961,1119,324486655.8125,0.03111500636090223,0.06011703273820519
2,1961,1117,335006670.3125,0.0301321806365179,0.0344718242270254
3,1961,1119,346364611.0,0.02911561467552778,0.028136224026287036
4,1961,1122,348510178.6875,0.02883392689317883,0.0036394407678615277
5,1961,1125,355787835.5,0.02850232051048622,0.023657912792663393
6,1961,1123,344719280.625,0.02942988351664625,-0.030819495607610006
7,1961,1126,356154124.9375,0.02844580194669962,0.027575327898280464
8,1961,1126,363970998.1875,0.02865112333274433,0.024634832595153033
9,1961,1132,356431224.625,0.02876058667980131,-0.02218218921610363
10,1961,1139,366265765.625,0.02926053962781369,0.025065979691721262
11,1961,1143,381130608.4375,0.02915543295898167,0.0425335390559638
12,1961,1143,384054107.875,0.02885737049595961,-0.0013517881126212665
1,1962,1147,370594064.6875,0.0301736493163294,-0.03898080845524929
2,1962,1148,378298519.375,0.03015472754387141,0.017059979785757632
3,1962,1145,375599412.9375,0.029801530374366,-0.006971439242132846
4,1962,1146,352161755.1875,0.03209205605150248,-0.06780045379178178
5,1962,1149,321049756.1875,0.03634689793177524,-0.09068841547923517
6,1962,1151,293431942.375,0.03901073233411736,-0.08846720538914261
7,1962,2039,334981372.5,0.03460142690436565,0.06111356611401629
8,1962,2037,341114185.09375,0.03426630100159486,0.02071665097486054
9,1962,2046,323852625.71875,0.03639581865990166,-0.05380686707737706
10,1962,2047,323742551.75,0.03557345518162403,-0.00012837751788060368
11,1962,2049,357072679.59375,0.0331095390091283,0.1022027006424899
12,1962,2047,362166756.8125,0.03262635751085605,0.009439605927620156
1,1963,2056,380635833.09375,0.0309754579829605,0.04815980600034852
2,1963,2043,370696830.875,0.03241942132057693,-0.02459712372114258
3,1963,2044,382503587.6875,0.03204356746891016,0.029956460838163116
4,1963,2057,400841179.59375,0.03062216294208398,0.04394269928189819
5,1963,2062,406900741.59375,0.03071811622013469,0.01743887482228612
6,1963,2066,399238776.0,0.03139584460613448,-0.02063321163442945
7,1963,2066,398027231.9375,0.03176042867909977,-0.004207043346049559
8,1963,2068,417495925.40625,0.03027343424919005,0.04869659820666608
9,1963,2064,412086723.46875,0.03075757478342636,-0.014732194185565296
10,1963,2065,422704832.8125,0.03002884628091658,0.02451837269727352
11,1963,2073,416327347.65625,0.03109111677640321,-0.008435327984095742
12,1963,2062,427105273.6875,0.03053059533768495,0.018575080606526878
1,1964,2077,440158484.75,0.02954807777140329,0.022534007930650177
2,1964,2079,447015957.90625,0.02960650029424171,0.014131596672132506
3,1964,2086,454525327.53125,0.02906713257492394,0.014544941904703707
4,1964,2099,458420793.21875,0.02894102669853713,0.001650762968403511
5,1964,2102,464546377.1875,0.02879020153974565,0.014365808253970085
6,1964,2105,470669701.0625,0.02883331546499861,0.012071624009760924
7,1964,2113,480522391.40625,0.02815281284988187,0.017022503767523116
8,1964,2121,472996735.4375,0.02905824640929455,-0.014209126580087161
9,1964,2119,487214791.1875,0.02863104958716768,0.02711229165866048
10,1964,2123,489983517.03125,0.02844536234823967,0.005892552994534713
11,1964,2128,487126637.4375,0.02909816946905191,0.00011465231697483551
12,1964,2127,492739687.375,0.02952326198570282,0.0006544665915801449
1,1965,2129,511611136.625,0.02850665143632491,0.034723050941682626
2,1965,2132,512990924.78125,0.0288053263910315,0.0037520173401456467
3,1965,2135,508439284.5,0.02935141406839892,-0.013032147362392678
4,1965,2143,525431231.09375,0.02846090783654555,0.02982851351061563
5,1965,2146,521857490.96875,0.02915485251370836,-0.007630142014585039
6,1965,2152,493990787.15625,0.0310504261934902,-0.056497969706501165
7,1965,2162,501647861.5,0.03052394417317884,0.013459437678657236
